Processed Tokens,Wiki,AlQuds,Corpus A Terms or types,Corpus B Terms or types
9100000,400670,301278,400670,301278
9200000,403017,302878,403017,302878
9300000,405922,304998,405922,304998
9400000,408390,306798,408390,306798
9500000,411145,308496,411145,308496
9600000,413805,310539,413805,310539
9700000,416183,312019,416183,312019
9800000,418783,313564,418783,313564
9900000,421849,315539,421849,315539
10000000,424482,317118,424482,317118
10100000,426557,319220,426557,319220
10200000,429210,320926,429210,320926
10300000,432191,323360,432191,323360
10400000,434405,324927,434405,324927
10500000,436254,326727,436254,326727
10600000,438179,328269,438179,328269
10700000,440599,329907,440599,329907
10800000,443281,331998,443281,331998
10900000,445374,334071,445374,334071
11000000,447933,335640,447933,335640
11100000,450077,337616,450077,337616
11200000,451374,339188,451374,339188
11300000,453712,340674,453712,340674
11400000,456082,342191,456082,342191
11500000,456166,343633,456166,343633
11600000,456166,345311,456166,345311
11700000,456320,347419,456320,347419
11800000,458763,349563,458763,349563
11900000,460876,351057,460876,351057
12000000,462415,352530,462415,352530
12100000,464519,354013,464519,354013
12200000,466664,355700,466664,355700
12300000,468741,357249,468741,357249
12400000,469584,359215,469584,359215
12500000,471562,360911,471562,360911
12600000,473393,362500,473393,362500
12700000,475241,363830,475241,363830
12800000,476969,365146,476969,365146
12900000,479091,366508,479091,366508
13000000,481237,368033,481237,368033
13100000,483186,369793,483186,369793
13200000,485027,371675,485027,371675
13300000,487243,373408,487243,373408
13400000,489161,374815,489161,374815
13500000,491162,376397,491162,376397
13600000,492997,377895,492997,377895
13700000,494864,379766,494864,379766
13800000,497016,381235,497016,381235
13900000,499288,383038,499288,383038
14000000,501461,384474,501461,384474
14100000,503836,385825,503836,385825
14200000,505976,387301,505976,387301
14300000,508408,388766,508408,388766
14400000,508984,390756,508984,390756
14500000,509380,392140,509380,392140
14600000,511084,393610,511084,393610
14700000,513291,394894,513291,394894
14800000,515441,396211,515441,396211
14900000,516935,397934,516935,397934
15000000,519267,399607,519267,399607
15100000,521752,401116,521752,401116
15200000,523431,402366,523431,402366
15300000,525531,403894,525531,403894
15400000,527626,405235,527626,405235
15500000,530151,406659,530151,406659
15600000,532317,408410,532317,408410
15700000,534893,410005,534893,410005
15800000,537077,411599,537077,411599
15900000,539284,413359,539284,413359
16000000,541556,414732,541556,414732
16100000,543702,415986,543702,415986
16200000,545445,417322,545445,417322
16300000,547232,419040,547232,419040
16400000,549372,420648,549372,420648
16500000,551350,422186,551350,422186
16600000,553572,423516,553572,423516
16700000,555373,424844,555373,424844
16800000,557306,426770,557306,426770
16900000,559057,428672,559057,428672
17000000,560779,430037,560779,430037
17100000,562520,431538,562520,431538
17200000,563887,433002,563887,433002
17300000,565476,434616,565476,434616
17400000,567325,435941,567325,435941
17500000,569319,437149,569319,437149
17600000,571356,438462,571356,438462
17700000,572787,439955,572787,439955
17800000,574375,441278,574375,441278
17900000,576152,442802,576152,442802
18000000,578065,444144,578065,444144
18100000,579959,445499,579959,445499
18200000,581505,446835,581505,446835
18300000,583812,448108,583812,448108
18400000,584958,449320,584958,449320
18500000,586528,450520,586528,450520
18600000,587946,452016,587946,452016
18700000,589427,453339,589427,453339
18800000,590934,454712,590934,454712
18900000,592493,456049,592493,456049
19000000,594048,457432,594048,457432
19100000,595689,458810,595689,458810
19200000,597409,460137,597409,460137
19300000,599017,461644,599017,461644
19400000,600663,462949,600663,462949
19500000,602270,464380,602270,464380
19600000,604199,465988,604199,465988
19700000,606053,467131,606053,467131
19800000,607740,468495,607740,468495
19900000,609759,469753,609759,469753
20000000,611362,470933,611362,470933
20100000,613288,472345,613288,472345
20200000,615044,473597,615044,473597
20300000,616186,475017,616186,475017
20400000,617275,476299,617275,476299
20500000,618906,477573,618906,477573
20600000,620940,478850,620940,478850
20700000,622708,480061,622708,480061
20800000,624680,481466,624680,481466
20900000,626710,483349,626710,483349
21000000,628586,484967,628586,484967
21100000,630144,486256,630144,486256
21200000,632098,487771,632098,487771
21300000,633578,488997,633578,488997
